Comparison,OTU,baseMean,effect,Phylum,Class,Order,Family,Genus
Sterile feed _vs_ Control,Seq_1349,0.005214969692790487,1.6014720663739541,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
Sterile feed _vs_ Control,Seq_61,1.0784469000584858,-1.6010408382685015,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
Sterile feed _vs_ Control,Seq_1317,0.01363807420569492,1.59855705281594,Rare,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella
Sterile feed _vs_ Control,Seq_428,0.06332432624090246,-1.590620743087144,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
Sterile feed _vs_ Control,Seq_2664,0.006485184080956835,1.5884236706026058,Planctomycetota,vadinHA49,NA,NA,NA
Sterile feed _vs_ Control,Seq_641,0.07090821798820805,-1.5795301243495983,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_9,0.10185257389976371,1.573367600495283,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
Sterile feed _vs_ Control,Seq_1259,0.008305234760943537,1.5727377590130531,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
Sterile feed _vs_ Control,Seq_944,0.13880862233751545,-1.5671165529115714,Rare,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Sterile feed _vs_ Control,Seq_1592,0.06511802460843451,-1.5669792976111745,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia
Sterile feed _vs_ Control,Seq_1340,0.06714416671034232,-1.5666090972529214,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia
Sterile feed _vs_ Control,Seq_152,0.10262827545978113,1.5618921375692978,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
Sterile feed _vs_ Control,Seq_366,0.09742286755907097,-1.5560517195149304,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_390,0.1407371416728007,-1.5559527819625822,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Filimonas
Sterile feed _vs_ Control,Seq_2021,0.015821639898335564,1.5466907395990126,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,NA
Sterile feed _vs_ Control,Seq_1303,0.07853937497231377,-1.5333141291267254,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum
Sterile feed _vs_ Control,Seq_166,0.23933063173364547,-1.5250939652076223,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia
Sterile feed _vs_ Control,Seq_1318,0.031092370061849433,1.5131404627060723,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
Sterile feed _vs_ Control,Seq_141,0.2110369566925215,-1.5101516277208629,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
Sterile feed _vs_ Control,Seq_1413,0.0775583570621693,-1.5050039923306429,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Sterile feed _vs_ Control,Seq_559,0.14952704495165378,-1.5027747832803473,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Frateuria
Sterile feed _vs_ Control,Seq_1089,0.127739253856156,-1.4974505204188788,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
Sterile feed _vs_ Control,Seq_476,0.1567771238665907,-1.4926390073291975,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Sterile feed _vs_ Control,Seq_2487,0.013784457027373787,1.480832535388855,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA
Sterile feed _vs_ Control,Seq_508,0.12117523892586525,-1.478434965629015,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
Sterile feed _vs_ Control,Seq_509,0.266488501749449,-1.4780586179697242,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
Sterile feed _vs_ Control,Seq_99,0.4986800795865459,-1.4776737218167744,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
Sterile feed _vs_ Control,Seq_834,0.1404704962034795,-1.4767017685256651,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Edaphobacter
Sterile feed _vs_ Control,Seq_1304,0.009535638174261162,1.4678846931834486,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_493,0.03024215783010853,1.4660255809352503,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
Sterile feed _vs_ Control,Seq_3317,0.004579872565365146,1.455322487707964,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,NA
Sterile feed _vs_ Control,Seq_1414,0.08091692131109898,-1.4524564844705696,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
Sterile feed _vs_ Control,Seq_585,0.03448107992589909,1.4389521528280849,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sterile feed _vs_ Control,Seq_1255,0.07805876192585565,-1.4382570297916863,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum
Sterile feed _vs_ Control,Seq_53,1.6917300493087057,-1.4270281556339999,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_851,0.14360646633690916,-1.4265973020185931,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
Sterile feed _vs_ Control,Seq_975,0.10847535903469051,-1.4229854860743085,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
Sterile feed _vs_ Control,Seq_1494,0.0524504697220862,1.4119384689690406,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter
Sterile feed _vs_ Control,Seq_201,0.019672684433845577,1.4104843792123891,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Sterile feed _vs_ Control,Seq_563,0.09449521999269765,-1.3962403356882631,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_478,0.24658403067988421,-1.3938322087009696,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidipila
Sterile feed _vs_ Control,Seq_1222,0.07947995580099157,-1.3725490006948924,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
Sterile feed _vs_ Control,Seq_235,0.2845336181016365,-1.3665641743572257,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
Sterile feed _vs_ Control,Seq_1118,0.08142814640790015,-1.3664275171337905,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA
Sterile feed _vs_ Control,Seq_746,0.10051119217600739,-1.3661439357915757,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
Sterile feed _vs_ Control,Seq_176,0.6567627092042064,-1.3473394135835162,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
Sterile feed _vs_ Control,Seq_697,0.14908860344453745,-1.340197205751741,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
Sterile feed _vs_ Control,Seq_168,0.09436481026410068,-1.3313328555451989,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Sterile feed _vs_ Control,Seq_118,0.3868061814713278,-1.3268901777494801,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Sterile feed _vs_ Control,Seq_722,0.16258733671886666,-1.1788871182136647,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus
Sterile feed _vs_ Control,Seq_839,0.14721556380639217,-1.0746677327401954,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus
