ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_2864	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	NA	100	100	100	100	100	100	95
Seq_2865	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	astaxanthinifaciens	100	100	100	100	100	98	61
Seq_2866	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	100	100	100	100	100	100	37
Seq_2867	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	NA	NA	100	100	100	100	100	52	52
Seq_2868	Bacteria	Firmicutes	NA	NA	NA	NA	NA	100	95	29	28	28	8	8
Seq_2869	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA	100	100	97	97	97	97	97
Seq_2870	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnotalea	NA	100	100	100	100	100	88	88
Seq_2871	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100	100
Seq_2872	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	100	100	100	100	100	99	68
Seq_2873	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	100	100	100	100	95	95	95
Seq_2874	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	NA	100	100	100	100	100	100	96
Seq_2875	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	23
Seq_2876	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	99	65	59	59
Seq_2877	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	simplex	100	100	100	100	100	100	99
Seq_2878	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	turgidiscabies	100	100	100	100	100	90	52
Seq_2879	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	72	72
Seq_2880	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	98	96	90	90	90	90
Seq_2881	Bacteria	Rs-K70 termite group	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_2882	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA	100	100	100	100	100	100	95
Seq_2883	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	lacus	100	100	100	100	100	100	85
Seq_2884	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	100	100	100	88	88	88	54
Seq_2885	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	NA	100	100	100	100	100	81	81
Seq_2886	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	99	93	33	33	32	32
Seq_2887	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	98	97	95	95	93	93
Seq_2888	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_2889	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	NA	100	100	100	100	100	100	58
Seq_2890	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_2891	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	58
Seq_2892	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	89	89
Seq_2893	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	57	57	57	57
Seq_2894	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	96	91	78	78
Seq_2895	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	halotolerans	100	100	100	100	100	98	82
Seq_2896	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA	100	98	97	96	96	96	96
Seq_2897	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	90	89	49	41	41	41
Seq_2898	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	100	100	100	100	100	100	100
Seq_2899	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	69	64	64	33
Seq_2900	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	NA	100	100	100	100	100	97	97
Seq_2901	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	99	99	92	57
Seq_2902	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Termite planctomycete cluster	NA	100	100	100	100	100	97	97
Seq_2903	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	NA	100	100	100	90	72	70	70
Seq_2904	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA	100	97	97	71	58	22	22
Seq_2905	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	NA	100	100	100	100	100	100	98
Seq_2906	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	97	96	90	90	87	87
Seq_2907	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	NA	100	100	100	100	100	100	100
Seq_2908	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	NA	100	100	100	100	100	92	36
Seq_2909	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	NA	100	100	100	100	100	85	55
Seq_2910	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	100	100	100	100	97	97	76
Seq_2911	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	75	72	70	20
Seq_2912	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	cervicalis	100	100	100	100	100	100	75
Seq_2913	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	100	100	100	100	100	100	48
Seq_2914	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	95	95	95	91	75	28
Seq_2915	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	100	99	94	28	28
Seq_2916	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	glycanilyticus	100	100	100	100	100	100	100
Seq_2917	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	100	100	100	100	100
Seq_2918	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA	100	100	100	100	99	99	99
Seq_2919	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya Es-Yyy1000	NA	100	100	100	100	100	100	100
Seq_2920	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	75	74	73	28
Seq_2921	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	98	97	96	92	92
Seq_2922	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	NA	100	100	100	100	100	100	96
Seq_2923	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	matruchotii	100	100	100	100	100	100	92
Seq_2924	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	NA	NA	NA	100	100	96	96	42	42	42
Seq_2925	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	100	100	100	100	100	100	100
Seq_2926	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	99	99	99	20	20	20
Seq_2927	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	NA	100	100	100	100	100	69	69
Seq_2928	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	koreensis	100	100	100	100	100	75	75
Seq_2929	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovastum	NA	100	100	100	100	100	53	53
Seq_2930	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	100	100	48	48
Seq_2931	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	97	80	80
Seq_2932	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	99	97	97	51	43	43
Seq_2933	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	100	100	100	56	56	56	35
Seq_2934	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	100	100	100	100	99	94	76
Seq_2935	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	NA	100	100	100	100	100	100	100
Seq_2936	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	mizutaii	100	100	100	100	100	100	100
Seq_2937	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	100	100	100
Seq_2938	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	99	99	83	77
Seq_2939	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	japonica	100	100	100	100	100	93	89
Seq_2940	Bacteria	Firmicutes	NA	NA	NA	NA	NA	100	98	10	10	10	5	4
Seq_2941	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	curdlanolyticus	100	100	100	100	100	100	100
Seq_2942	Bacteria	Firmicutes	NA	NA	NA	NA	NA	100	93	21	21	20	11	10
Seq_2943	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	NA	100	100	100	92	92	92	8
Seq_2944	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	100	100	100	100	100	83	83
Seq_2945	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	97	88	26	20
Seq_2946	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	NA	100	100	100	100	94	51	40
Seq_2947	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	100	100	43	27	27	27
Seq_2948	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	92	78	74	74	74	74
Seq_2949	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	98	91	88	87
Seq_2950	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	100	100
Seq_2951	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	94	93	87	26	26	26
Seq_2952	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	ciceri	100	100	100	100	99	62	52
Seq_2953	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	99	99	99	99	99	92
Seq_2954	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	97	96	92	92
Seq_2955	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	100	100	100	54	54	54	31
Seq_2956	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	NA	NA	NA	100	100	100	100	100	100	100
Seq_2957	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA	100	99	92	92	79	74	41
Seq_2958	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	NA	100	100	100	100	100	100	87
Seq_2959	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	100	96	94	94	94	94
Seq_2960	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Candidatus Symbiothrix	NA	100	100	100	100	100	59	56
Seq_2961	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	100	99	38	38	38	30
Seq_2962	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	80	78	64	63	44	44
Seq_2963	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	100	100	100	100	95	95	95
Seq_2964	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	sacheonensis	100	100	100	100	100	100	62
Seq_2965	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	100	100	100	100	99	23	11
Seq_2966	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	100	100	92	43	38
Seq_2967	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	87	61	61
Seq_2968	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	100	99	98	98
Seq_2969	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA	100	99	94	59	59	56	56
Seq_2970	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	97	84	22	22	18	18
Seq_2971	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	NA	100	100	100	100	98	71	15
Seq_2972	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	92	90	90
Seq_2973	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	100	100	100	100	98	97	86
Seq_2974	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	77	76	45	38	25	25
Seq_2975	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	rivuli	100	100	100	100	100	100	51
Seq_2976	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	NA	100	100	100	100	100	100	100
Seq_2977	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	NA	NA	100	100	100	100	98	86	86
Seq_2978	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	96	96	96	96	96
Seq_2979	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	100	100	100	100	100	100	65
Seq_2980	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Silvimonas	NA	100	100	100	100	98	74	46
Seq_2981	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	NA	100	100	100	93	85	63	63
Seq_2982	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA	100	85	77	43	27	20	20
Seq_2983	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	88	74	64	64	64	64
Seq_2984	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	100	100	100	100	100	86	44
Seq_2985	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylophilus	NA	100	100	100	100	100	100	100
Seq_2986	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	NA	100	91	88	55	51	26	3
Seq_2987	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	63	46
Seq_2988	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	95	90	90
Seq_2989	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae	NA	NA	NA	100	95	91	70	20	20	20
Seq_2990	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	97	96	94	94
Seq_2991	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	100	98	96	41	41	41
Seq_2992	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	zavarzinii	100	100	100	100	99	97	94
Seq_2993	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	100	99	90	30	25	24
Seq_2994	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA	100	100	97	94	94	94	94
Seq_2995	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_2996	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	100	100	100	100	54	54	54
Seq_2997	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	99	99
Seq_2998	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	butyriciproducens	100	100	98	92	79	67	61
Seq_2999	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA	100	99	99	98	96	51	51
Seq_3000	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	82	66	62
Seq_3001	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	99	94	90	87	87
Seq_3002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	NA	100	100	100	99	99	87	87
Seq_3003	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	95	95	59	43	30
Seq_3004	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	100	97	96	96	96	96	96
Seq_3005	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	NA	100	95	92	74	66	29	7
Seq_3006	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	95	89	80	60	41	26
Seq_3007	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	100	100	100	100	100	100	96
Seq_3008	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	NA	100	100	100	100	100	100	79
Seq_3009	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	93	87	87	87	87
Seq_3010	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	100	41	41
Seq_3011	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	100	100	81	48	30	30
Seq_3012	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	NA	NA	100	100	100	100	100	49	49
Seq_3013	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	31
Seq_3014	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	99	98	93	60	60
Seq_3015	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Paludisphaera	NA	100	100	100	100	100	100	100
Seq_3016	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100	100
Seq_3017	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	100	99	99	96	96	96	96
Seq_3018	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	99	99	82	80	71	71
Seq_3019	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	callidus	100	100	100	100	100	100	73
Seq_3020	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	90	49
Seq_3021	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus	caseolyticus	100	100	100	100	100	100	100
Seq_3022	Bacteria	NA	NA	NA	NA	NA	NA	100	37	27	20	20	18	18
Seq_3023	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	100	100	100	100	99	73
Seq_3024	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	99	99	93	93	93	93
Seq_3025	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	NA	NA	NA	100	86	85	58	40	32	31
Seq_3026	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	90	79	79
Seq_3027	Bacteria	Firmicutes	NA	NA	NA	NA	NA	100	87	16	16	14	8	4
Seq_3028	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_3029	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	100	97	97	97	97	96	94
Seq_3030	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	95	67	11	11	10	10
Seq_3031	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	100	100	40	40	40	36
Seq_3032	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	NA	100	100	100	100	100	90	84
Seq_3033	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	NA	100	100	100	99	99	98	98
Seq_3034	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA	100	100	100	100	100	100	82
Seq_3035	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	98	97	89	89
Seq_3036	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptoniphilus	NA	NA	100	100	100	100	100	100	100
Seq_3037	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	98	96	94	94	94	94
Seq_3038	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Paludisphaera	NA	100	100	100	100	100	100	100
Seq_3039	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	100	100	51	51	51	51
Seq_3040	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	99	99	95	95
Seq_3041	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	100	100	100	100	100
Seq_3042	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	100	95	93	22	20	20	15
Seq_3043	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	98	98	97	97	95	95
Seq_3044	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	NA	100	98	98	98	67	51	51
Seq_3045	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	100	94	83	83	72	27	18
Seq_3046	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_3047	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA	100	100	100	100	100	67	67
Seq_3048	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	100	100	100	41	41	41
Seq_3049	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	99	43
Seq_3050	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	98	96	94	94	94	94
Seq_3051	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	99	89	84	56	56
Seq_3052	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	100	99	99	98	96	96	96
Seq_3053	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	93	92	86	86	71	71
Seq_3054	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100	48
Seq_3055	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	NA	100	100	100	97	97	97	97
Seq_3056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	100	100	100	100	6	6
Seq_3057	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	100	100	100	89	54	33	30
Seq_3058	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	NA	100	100	100	100	100	94	93
Seq_3059	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	100	100	100	100	100	100	49
Seq_3060	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA	100	100	100	100	100	100	100
Seq_3061	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	100	99	98	79	79	79	78
Seq_3062	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA	100	100	98	86	86	86	86
Seq_3063	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	100	100	100	100	93	87	87
Seq_3064	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	100	100	100	86	39	31	31
Seq_3065	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	taklimakanense	100	100	100	100	100	100	100
